,filename,age,gender,race,age_range
0,9_1_2_20161219204347420.jpg.chip.jpg,9,Female,Asian,0-10
1,36_0_1_20170117163203851.jpg.chip.jpg,36,Male,Black,31-40
2,86_1_0_20170120225751953.jpg.chip.jpg,86,Female,White,71-120
3,26_1_0_20170116171048641.jpg.chip.jpg,26,Female,White,21-30
4,1_1_2_20161219154612988.jpg.chip.jpg,1,Female,Asian,0-10
5,52_0_1_20170117161018159.jpg.chip.jpg,52,Male,Black,51-60
6,25_1_0_20170117134403373.jpg.chip.jpg,25,Female,White,21-30
7,16_0_0_20170104003740977.jpg.chip.jpg,16,Male,White,11-20
8,27_0_3_20170119210058457.jpg.chip.jpg,27,Male,Indian,21-30
9,36_0_3_20170119180245724.jpg.chip.jpg,36,Male,Indian,31-40
10,58_0_2_20170116193704928.jpg.chip.jpg,58,Male,Asian,51-60
11,6_1_0_20170114024512634.jpg.chip.jpg,6,Female,White,0-10
12,35_1_2_20170116185947151.jpg.chip.jpg,35,Female,Asian,31-40
13,1_1_3_20161219230734016.jpg.chip.jpg,1,Female,Indian,0-10
14,26_1_1_20170103181931657.jpg.chip.jpg,26,Female,Black,21-30
15,2_0_2_20161219141650121.jpg.chip.jpg,2,Male,Asian,0-10
16,53_1_0_20170110143534851.jpg.chip.jpg,53,Female,White,51-60
17,35_0_3_20170119201304861.jpg.chip.jpg,35,Male,Indian,31-40
18,23_1_0_20170117142807780.jpg.chip.jpg,23,Female,White,21-30
19,24_0_3_20170119152239904.jpg.chip.jpg,24,Male,Indian,21-30
20,26_1_2_20170116182434267.jpg.chip.jpg,26,Female,Asian,21-30
21,75_0_0_20170117204739711.jpg.chip.jpg,75,Male,White,71-120
22,36_1_4_20170104172843788.jpg.chip.jpg,36,Female,Others,31-40
23,23_1_0_20170116222839270.jpg.chip.jpg,23,Female,White,21-30
24,50_0_0_20170117155052592.jpg.chip.jpg,50,Male,White,41-50
25,15_0_0_20170116211720424.jpg.chip.jpg,15,Male,White,11-20
26,25_0_1_20170116002302626.jpg.chip.jpg,25,Male,Black,21-30
27,37_0_0_20170104205628245.jpg.chip.jpg,37,Male,White,31-40
28,10_0_1_20170110223848885.jpg.chip.jpg,10,Male,Black,0-10
29,22_0_1_20170113150441654.jpg.chip.jpg,22,Male,Black,21-30
30,1_0_2_20161219205313061.jpg.chip.jpg,1,Male,Asian,0-10
31,29_1_2_20170116163350492.jpg.chip.jpg,29,Female,Asian,21-30
32,26_0_1_20170113174952963.jpg.chip.jpg,26,Male,Black,21-30
33,21_0_0_20170116215444801.jpg.chip.jpg,21,Male,White,21-30
34,46_0_3_20170119195336586.jpg.chip.jpg,46,Male,Indian,41-50
35,52_0_0_20170104212337021.jpg.chip.jpg,52,Male,White,51-60
36,26_1_0_20170117154814509.jpg.chip.jpg,26,Female,White,21-30
37,27_0_3_20170119211454145.jpg.chip.jpg,27,Male,Indian,21-30
38,17_0_0_20170117134955265.jpg.chip.jpg,17,Male,White,11-20
39,63_0_1_20170117155018994.jpg.chip.jpg,63,Male,Black,61-70
40,34_1_1_20170117010327748.jpg.chip.jpg,34,Female,Black,31-40
41,61_0_3_20170119211851089.jpg.chip.jpg,61,Male,Indian,61-70
42,18_1_0_20170109212830216.jpg.chip.jpg,18,Female,White,11-20
43,29_1_1_20170115234825058.jpg.chip.jpg,29,Female,Black,21-30
44,25_1_1_20170112230722548.jpg.chip.jpg,25,Female,Black,21-30
